wl,n,k
2.07E-01,9.63E-01,2.33E+00
2.07E-01,9.65E-01,2.33E+00
2.07E-01,9.67E-01,2.34E+00
2.08E-01,9.68E-01,2.34E+00
2.08E-01,9.70E-01,2.35E+00
2.09E-01,9.72E-01,2.35E+00
2.09E-01,9.74E-01,2.36E+00
2.10E-01,9.75E-01,2.36E+00
2.10E-01,9.77E-01,2.37E+00
2.10E-01,9.79E-01,2.37E+00
2.11E-01,9.81E-01,2.38E+00
2.11E-01,9.82E-01,2.39E+00
2.12E-01,9.84E-01,2.39E+00
2.12E-01,9.86E-01,2.40E+00
2.13E-01,9.88E-01,2.40E+00
2.13E-01,9.90E-01,2.41E+00
2.13E-01,9.92E-01,2.42E+00
2.14E-01,9.94E-01,2.42E+00
2.14E-01,9.95E-01,2.43E+00
2.15E-01,9.97E-01,2.44E+00
2.15E-01,1.00E+00,2.44E+00
2.16E-01,1.00E+00,2.45E+00
2.16E-01,1.00E+00,2.46E+00
2.16E-01,1.01E+00,2.46E+00
2.17E-01,1.01E+00,2.47E+00
2.17E-01,1.01E+00,2.48E+00
2.18E-01,1.01E+00,2.49E+00
2.18E-01,1.02E+00,2.49E+00
2.19E-01,1.02E+00,2.50E+00
2.19E-01,1.02E+00,2.51E+00
2.20E-01,1.03E+00,2.52E+00
2.20E-01,1.03E+00,2.53E+00
2.21E-01,1.03E+00,2.53E+00
2.21E-01,1.04E+00,2.54E+00
2.21E-01,1.04E+00,2.55E+00
2.22E-01,1.05E+00,2.56E+00
2.22E-01,1.05E+00,2.57E+00
2.23E-01,1.06E+00,2.58E+00
2.23E-01,1.06E+00,2.59E+00
2.24E-01,1.07E+00,2.60E+00
2.24E-01,1.07E+00,2.61E+00
2.25E-01,1.08E+00,2.61E+00
2.25E-01,1.09E+00,2.62E+00
2.26E-01,1.10E+00,2.63E+00
2.26E-01,1.10E+00,2.64E+00
2.27E-01,1.11E+00,2.65E+00
2.27E-01,1.12E+00,2.66E+00
2.28E-01,1.13E+00,2.66E+00
2.28E-01,1.14E+00,2.67E+00
2.29E-01,1.15E+00,2.68E+00
2.29E-01,1.16E+00,2.68E+00
2.30E-01,1.17E+00,2.69E+00
2.30E-01,1.18E+00,2.69E+00
2.31E-01,1.20E+00,2.69E+00
2.31E-01,1.21E+00,2.70E+00
2.32E-01,1.22E+00,2.70E+00
2.32E-01,1.23E+00,2.70E+00
2.33E-01,1.24E+00,2.70E+00
2.33E-01,1.25E+00,2.70E+00
2.34E-01,1.25E+00,2.70E+00
2.34E-01,1.26E+00,2.70E+00
2.35E-01,1.27E+00,2.70E+00
2.35E-01,1.28E+00,2.70E+00
2.36E-01,1.29E+00,2.70E+00
2.36E-01,1.29E+00,2.70E+00
2.37E-01,1.30E+00,2.70E+00
2.38E-01,1.30E+00,2.69E+00
2.38E-01,1.31E+00,2.69E+00
2.39E-01,1.31E+00,2.69E+00
2.39E-01,1.31E+00,2.69E+00
2.40E-01,1.32E+00,2.69E+00
2.40E-01,1.32E+00,2.68E+00
2.41E-01,1.32E+00,2.68E+00
2.41E-01,1.32E+00,2.68E+00
2.42E-01,1.32E+00,2.68E+00
2.42E-01,1.31E+00,2.68E+00
2.43E-01,1.31E+00,2.68E+00
2.44E-01,1.31E+00,2.68E+00
2.44E-01,1.31E+00,2.69E+00
2.45E-01,1.30E+00,2.69E+00
2.45E-01,1.30E+00,2.69E+00
2.46E-01,1.30E+00,2.70E+00
2.46E-01,1.29E+00,2.71E+00
2.47E-01,1.29E+00,2.71E+00
2.48E-01,1.29E+00,2.72E+00
2.48E-01,1.28E+00,2.73E+00
2.49E-01,1.28E+00,2.74E+00
2.49E-01,1.28E+00,2.75E+00
2.50E-01,1.28E+00,2.76E+00
2.51E-01,1.27E+00,2.77E+00
2.51E-01,1.27E+00,2.78E+00
2.52E-01,1.27E+00,2.79E+00
2.52E-01,1.27E+00,2.81E+00
2.53E-01,1.27E+00,2.82E+00
2.54E-01,1.27E+00,2.83E+00
2.54E-01,1.27E+00,2.85E+00
2.55E-01,1.28E+00,2.86E+00
2.55E-01,1.28E+00,2.87E+00
2.56E-01,1.28E+00,2.89E+00
2.57E-01,1.28E+00,2.90E+00
2.57E-01,1.28E+00,2.92E+00
2.58E-01,1.29E+00,2.93E+00
2.59E-01,1.29E+00,2.95E+00
2.59E-01,1.29E+00,2.96E+00
2.60E-01,1.30E+00,2.98E+00
2.61E-01,1.30E+00,3.00E+00
2.61E-01,1.31E+00,3.01E+00
2.62E-01,1.31E+00,3.03E+00
2.63E-01,1.32E+00,3.05E+00
2.63E-01,1.32E+00,3.06E+00
2.64E-01,1.33E+00,3.08E+00
2.65E-01,1.34E+00,3.10E+00
2.65E-01,1.35E+00,3.12E+00
2.66E-01,1.35E+00,3.14E+00
2.67E-01,1.36E+00,3.16E+00
2.67E-01,1.37E+00,3.17E+00
2.68E-01,1.38E+00,3.19E+00
2.69E-01,1.39E+00,3.21E+00
2.69E-01,1.40E+00,3.23E+00
2.70E-01,1.41E+00,3.25E+00
2.71E-01,1.42E+00,3.28E+00
2.71E-01,1.43E+00,3.30E+00
2.72E-01,1.44E+00,3.32E+00
2.73E-01,1.46E+00,3.34E+00
2.73E-01,1.47E+00,3.36E+00
2.74E-01,1.48E+00,3.39E+00
2.75E-01,1.50E+00,3.41E+00
2.76E-01,1.51E+00,3.43E+00
2.76E-01,1.53E+00,3.46E+00
2.77E-01,1.55E+00,3.48E+00
2.78E-01,1.57E+00,3.51E+00
2.79E-01,1.59E+00,3.53E+00
2.79E-01,1.61E+00,3.56E+00
2.80E-01,1.63E+00,3.58E+00
2.81E-01,1.65E+00,3.61E+00
2.82E-01,1.68E+00,3.63E+00
2.82E-01,1.70E+00,3.66E+00
2.83E-01,1.73E+00,3.69E+00
2.84E-01,1.76E+00,3.71E+00
2.85E-01,1.79E+00,3.74E+00
2.85E-01,1.82E+00,3.76E+00
2.86E-01,1.85E+00,3.79E+00
2.87E-01,1.89E+00,3.82E+00
2.88E-01,1.93E+00,3.84E+00
2.89E-01,1.96E+00,3.87E+00
2.89E-01,2.00E+00,3.89E+00
2.90E-01,2.05E+00,3.92E+00
2.91E-01,2.09E+00,3.94E+00
2.92E-01,2.14E+00,3.96E+00
2.93E-01,2.19E+00,3.98E+00
2.93E-01,2.24E+00,4.00E+00
2.94E-01,2.29E+00,4.02E+00
2.95E-01,2.35E+00,4.04E+00
2.96E-01,2.40E+00,4.05E+00
2.97E-01,2.46E+00,4.06E+00
2.98E-01,2.53E+00,4.07E+00
2.98E-01,2.59E+00,4.08E+00
2.99E-01,2.65E+00,4.08E+00
3.00E-01,2.72E+00,4.08E+00
3.01E-01,2.79E+00,4.08E+00
3.02E-01,2.85E+00,4.07E+00
3.03E-01,2.92E+00,4.06E+00
3.04E-01,2.99E+00,4.04E+00
3.04E-01,3.06E+00,4.02E+00
3.05E-01,3.13E+00,4.00E+00
3.06E-01,3.19E+00,3.97E+00
3.07E-01,3.25E+00,3.93E+00
3.08E-01,3.32E+00,3.90E+00
3.09E-01,3.37E+00,3.86E+00
3.10E-01,3.43E+00,3.81E+00
3.11E-01,3.48E+00,3.77E+00
3.12E-01,3.53E+00,3.72E+00
3.13E-01,3.57E+00,3.67E+00
3.14E-01,3.61E+00,3.61E+00
3.14E-01,3.64E+00,3.56E+00
3.15E-01,3.67E+00,3.51E+00
3.16E-01,3.70E+00,3.45E+00
3.17E-01,3.72E+00,3.40E+00
3.18E-01,3.74E+00,3.34E+00
3.19E-01,3.75E+00,3.29E+00
3.20E-01,3.76E+00,3.24E+00
3.21E-01,3.77E+00,3.20E+00
3.22E-01,3.77E+00,3.15E+00
3.23E-01,3.78E+00,3.11E+00
3.24E-01,3.78E+00,3.07E+00
3.25E-01,3.77E+00,3.03E+00
3.26E-01,3.77E+00,2.99E+00
3.27E-01,3.77E+00,2.96E+00
3.28E-01,3.76E+00,2.93E+00
3.29E-01,3.76E+00,2.90E+00
3.30E-01,3.75E+00,2.88E+00
3.31E-01,3.74E+00,2.85E+00
3.32E-01,3.74E+00,2.83E+00
3.33E-01,3.73E+00,2.81E+00
3.35E-01,3.73E+00,2.80E+00
3.36E-01,3.72E+00,2.78E+00
3.37E-01,3.72E+00,2.77E+00
3.38E-01,3.71E+00,2.76E+00
3.39E-01,3.71E+00,2.74E+00
3.40E-01,3.71E+00,2.73E+00
3.41E-01,3.71E+00,2.73E+00
3.42E-01,3.71E+00,2.72E+00
3.43E-01,3.71E+00,2.71E+00
3.44E-01,3.71E+00,2.71E+00
3.46E-01,3.72E+00,2.70E+00
3.47E-01,3.72E+00,2.70E+00
3.48E-01,3.72E+00,2.69E+00
3.49E-01,3.73E+00,2.69E+00
3.50E-01,3.74E+00,2.69E+00
3.51E-01,3.75E+00,2.68E+00
3.53E-01,3.76E+00,2.68E+00
3.54E-01,3.77E+00,2.68E+00
3.55E-01,3.78E+00,2.67E+00
3.56E-01,3.79E+00,2.67E+00
3.57E-01,3.80E+00,2.67E+00
3.59E-01,3.82E+00,2.66E+00
3.60E-01,3.83E+00,2.66E+00
3.61E-01,3.85E+00,2.66E+00
3.62E-01,3.86E+00,2.65E+00
3.64E-01,3.88E+00,2.65E+00
3.65E-01,3.90E+00,2.64E+00
3.66E-01,3.92E+00,2.64E+00
3.67E-01,3.94E+00,2.63E+00
3.69E-01,3.96E+00,2.62E+00
3.70E-01,3.98E+00,2.62E+00
3.71E-01,4.00E+00,2.61E+00
3.73E-01,4.02E+00,2.60E+00
3.74E-01,4.04E+00,2.59E+00
3.75E-01,4.07E+00,2.58E+00
3.77E-01,4.09E+00,2.57E+00
3.78E-01,4.11E+00,2.56E+00
3.79E-01,4.13E+00,2.55E+00
3.81E-01,4.16E+00,2.53E+00
3.82E-01,4.18E+00,2.52E+00
3.83E-01,4.20E+00,2.50E+00
3.85E-01,4.23E+00,2.49E+00
3.86E-01,4.25E+00,2.48E+00
3.88E-01,4.27E+00,2.46E+00
3.89E-01,4.30E+00,2.44E+00
3.91E-01,4.32E+00,2.43E+00
3.92E-01,4.34E+00,2.41E+00
3.94E-01,4.37E+00,2.40E+00
3.95E-01,4.39E+00,2.38E+00
3.97E-01,4.42E+00,2.36E+00
3.98E-01,4.45E+00,2.34E+00
4.00E-01,4.47E+00,2.32E+00
4.01E-01,4.50E+00,2.30E+00
4.03E-01,4.53E+00,2.28E+00
4.04E-01,4.55E+00,2.25E+00
4.06E-01,4.58E+00,2.23E+00
4.07E-01,4.61E+00,2.20E+00
4.09E-01,4.64E+00,2.18E+00
4.10E-01,4.67E+00,2.15E+00
4.12E-01,4.70E+00,2.12E+00
4.14E-01,4.72E+00,2.08E+00
4.15E-01,4.75E+00,2.05E+00
4.17E-01,4.78E+00,2.02E+00
4.19E-01,4.81E+00,1.98E+00
4.20E-01,4.83E+00,1.94E+00
4.22E-01,4.86E+00,1.90E+00
4.24E-01,4.88E+00,1.86E+00
4.25E-01,4.91E+00,1.81E+00
4.27E-01,4.93E+00,1.77E+00
4.29E-01,4.95E+00,1.72E+00
4.31E-01,4.97E+00,1.67E+00
4.32E-01,4.98E+00,1.62E+00
4.34E-01,4.99E+00,1.56E+00
4.36E-01,5.00E+00,1.51E+00
4.38E-01,5.01E+00,1.46E+00
4.40E-01,5.01E+00,1.40E+00
4.42E-01,5.01E+00,1.35E+00
4.43E-01,5.01E+00,1.30E+00
4.45E-01,5.00E+00,1.24E+00
4.47E-01,5.00E+00,1.19E+00
4.49E-01,4.99E+00,1.14E+00
4.51E-01,4.97E+00,1.10E+00
4.53E-01,4.96E+00,1.05E+00
4.55E-01,4.95E+00,1.01E+00
4.57E-01,4.93E+00,9.68E-01
4.59E-01,4.91E+00,9.29E-01
4.61E-01,4.89E+00,8.91E-01
4.63E-01,4.88E+00,8.55E-01
4.65E-01,4.86E+00,8.21E-01
4.67E-01,4.84E+00,7.88E-01
4.69E-01,4.82E+00,7.57E-01
4.71E-01,4.80E+00,7.27E-01
4.74E-01,4.78E+00,6.98E-01
4.76E-01,4.76E+00,6.70E-01
4.78E-01,4.74E+00,6.44E-01
4.80E-01,4.73E+00,6.18E-01
4.82E-01,4.71E+00,5.93E-01
4.84E-01,4.69E+00,5.70E-01
4.87E-01,4.67E+00,5.47E-01
4.89E-01,4.65E+00,5.25E-01
4.91E-01,4.63E+00,5.04E-01
4.94E-01,4.61E+00,4.84E-01
4.96E-01,4.60E+00,4.64E-01
4.98E-01,4.58E+00,4.45E-01
5.01E-01,4.56E+00,4.27E-01
5.03E-01,4.54E+00,4.09E-01
5.05E-01,4.52E+00,3.92E-01
5.08E-01,4.51E+00,3.76E-01
5.10E-01,4.49E+00,3.60E-01
5.13E-01,4.47E+00,3.45E-01
5.15E-01,4.45E+00,3.30E-01
5.18E-01,4.44E+00,3.16E-01
5.21E-01,4.42E+00,3.03E-01
5.23E-01,4.40E+00,2.90E-01
5.26E-01,4.39E+00,2.77E-01
5.28E-01,4.37E+00,2.65E-01
5.31E-01,4.36E+00,2.54E-01
5.34E-01,4.34E+00,2.43E-01
5.36E-01,4.32E+00,2.32E-01
5.39E-01,4.31E+00,2.22E-01
5.42E-01,4.29E+00,2.12E-01
5.45E-01,4.28E+00,2.02E-01
5.48E-01,4.26E+00,1.93E-01
5.51E-01,4.25E+00,1.84E-01
5.53E-01,4.23E+00,1.76E-01
5.56E-01,4.22E+00,1.68E-01
5.59E-01,4.21E+00,1.60E-01
